Handwriting_Sample,Writing_Speed_wpm,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Gender,Age
sample_1.jpg,60,0.357203184,0.407442296,0.724947002,0.451516729,0.255107361,Male,45
sample_2.jpg,32,0.730250486,0.051950142,0.351614749,0.528413321,0.664159164,Male,36
sample_3.jpg,10,0.836986904,0.162227485,0.164681001,0.816008267,0.681869972,Other,34
sample_4.jpg,12,0.413418634,0.363059142,0.131564244,0.938349643,0.23670162,Male,26
sample_5.jpg,11,0.616046348,0.247898813,0.909739759,0.698965717,0.46377423,Other,57
sample_6.jpg,44,0.911009241,0.883411649,0.217110504,0.411915853,0.008873347,Male,52
sample_7.jpg,40,0.887028664,0.053077374,0.828691097,0.318326856,0.277545306,Other,20
sample_8.jpg,27,0.337073081,0.809308627,0.316069174,0.517331086,0.449469576,Male,19
sample_9.jpg,53,0.800429822,0.136945295,0.715201026,0.051212742,0.055772431,Other,50
sample_10.jpg,58,0.755747048,0.982448017,0.340624751,0.483081861,0.401817121,Male,38
sample_11.jpg,27,0.729867668,0.670601519,0.650092053,0.840329189,0.548432822,Female,48
sample_12.jpg,32,0.534690424,0.067352231,0.295615075,0.769466925,0.783839364,Other,34
sample_13.jpg,18,0.181563864,0.384267515,0.07438899,0.016884588,0.513858364,Female,18
sample_14.jpg,29,0.398635524,0.044222054,0.433667561,0.469979613,0.899599095,Male,30
sample_15.jpg,30,0.344843741,0.533008838,0.21337136,0.251364958,0.015391262,Other,54
sample_16.jpg,25,0.769542006,0.723841035,0.265537782,0.733381354,0.042158581,Female,44
sample_17.jpg,26,0.473531986,0.044234651,0.920673908,0.37880139,0.167481738,Female,27
sample_18.jpg,20,0.076116877,0.839055176,0.863435784,0.977037472,0.157786998,Female,32
sample_19.jpg,56,0.701529079,0.950533374,0.305547127,0.687242365,0.555783917,Male,33
sample_20.jpg,57,0.024135207,0.050687704,0.835027924,0.669566307,0.196173932,Other,54
sample_21.jpg,34,0.684371671,0.076826629,0.264683255,0.343674191,0.43453493,Male,22
sample_22.jpg,46,0.602860937,0.731948621,0.781456872,0.085050052,0.226912719,Male,46
sample_23.jpg,45,0.686177058,0.134493548,0.791860042,0.241765899,0.375291229,Female,28
sample_24.jpg,44,0.862360006,0.513772923,0.605529429,0.133465785,0.388777904,Other,35
sample_25.jpg,16,0.298692779,0.568428592,0.709378878,0.777676621,0.158057428,Other,22
sample_26.jpg,48,0.683086378,0.023736261,0.819246564,0.096438002,0.330552654,Female,41
sample_27.jpg,26,0.382834665,0.988445347,0.507630334,0.471670995,0.472297573,Male,51
sample_28.jpg,42,0.359685882,0.040744288,0.244235603,0.437718584,0.356634482,Female,56
sample_29.jpg,29,0.642021292,0.36216199,0.898391322,0.05160974,0.471351324,Male,46
sample_30.jpg,12,0.718422776,0.461373422,0.802318833,0.195066752,0.355950898,Female,44
sample_31.jpg,56,0.396227458,0.029436695,0.291944976,0.540647686,0.550274707,Female,29
sample_32.jpg,34,0.320106371,0.336173787,0.952413354,0.627865197,0.497647129,Female,32
sample_33.jpg,27,0.801696082,0.96092537,0.593657478,0.651735979,0.532418119,Female,23
sample_34.jpg,56,0.964465167,0.763075985,0.229065692,0.692035284,0.669497777,Other,41
sample_35.jpg,13,0.163650983,0.673517603,0.778645162,0.096592266,0.527247329,Other,24
sample_36.jpg,43,0.442766194,0.392678753,0.207890776,0.788456025,0.906869626,Male,59
sample_37.jpg,43,0.080767243,0.565488716,0.064104936,0.483700432,0.087762931,Male,57
sample_38.jpg,27,0.839600949,0.56173213,0.395397921,0.033685957,0.044567813,Female,54
sample_39.jpg,11,0.900409827,0.488797267,0.727910317,0.530680165,0.887432146,Male,45
sample_40.jpg,47,0.290405244,0.718910711,0.77775599,0.439937158,0.349588043,Other,24
sample_41.jpg,32,0.048543987,0.025912431,0.021416691,0.92134754,0.519921706,Other,42
sample_42.jpg,23,0.955934124,0.918466836,0.657296535,0.861307172,0.485820731,Male,57
sample_43.jpg,46,0.709156836,0.431108969,0.98377182,0.927231058,0.515424331,Male,46
sample_44.jpg,53,0.491072469,0.784476154,0.792195689,0.41377339,0.726597822,Other,30
sample_45.jpg,39,0.474020746,0.684744817,0.859591538,0.792138885,0.458999099,Male,20
sample_46.jpg,49,0.172054365,0.546841627,0.58233716,0.282541818,0.099793381,Female,54
sample_47.jpg,11,0.629046725,0.334427055,0.267605279,0.931704755,0.873982212,Male,53
sample_48.jpg,60,0.743867534,0.799566226,0.367781783,0.444853314,0.765351952,Other,39
sample_49.jpg,41,0.782352009,0.840537328,0.567395186,0.468776442,0.875225088,Female,55
sample_50.jpg,53,0.158748794,0.324195996,0.439523891,0.875153751,0.68574796,Female,44
sample_51.jpg,46,0.121754532,0.899792369,0.928963692,0.331872101,0.679818795,Female,43
sample_52.jpg,58,0.44546909,0.395262006,0.754518522,0.799118501,0.665835984,Female,35
sample_53.jpg,52,0.989938078,0.933686311,0.95597,0.073252389,0.28424928,Male,48
sample_54.jpg,40,0.516743415,0.848704108,0.926203846,0.132489658,0.999998716,Female,22
sample_55.jpg,35,0.619166146,0.415978507,0.857628857,0.213490756,0.050566632,Male,45
sample_56.jpg,41,0.430952989,0.721390103,0.185652031,0.900834501,0.981678243,Other,30
sample_57.jpg,14,0.461158916,0.686238986,0.496790571,0.047026813,0.598457864,Male,39
sample_58.jpg,34,0.679089995,0.024369429,0.380112445,0.788410891,0.897119631,Female,18
sample_59.jpg,41,0.868152664,0.447271352,0.896403399,0.926226714,0.066809905,Male,23
sample_60.jpg,21,0.608247304,0.699388176,0.714691621,0.82105363,0.68901574,Other,28
sample_61.jpg,51,0.608220521,0.075753902,0.396863874,0.585418485,0.183363776,Male,49
sample_62.jpg,29,0.274160486,0.172695412,0.036830682,0.104665205,0.403319575,Male,18
sample_63.jpg,21,0.19514273,0.112180253,0.680546551,0.268340009,0.352962183,Male,27
sample_64.jpg,24,0.015263195,0.471957834,0.13808738,0.747686025,0.953384297,Female,20
sample_65.jpg,60,0.56812166,0.085051881,0.191030926,0.647075429,0.878545438,Female,25
sample_66.jpg,23,0.480910721,0.151084783,0.99682961,0.127424731,0.48754562,Female,20
sample_67.jpg,36,0.22653352,0.953382747,0.131825821,0.157315824,0.976892104,Other,39
sample_68.jpg,16,0.353981571,0.846510492,0.285389335,0.437283294,0.422042062,Male,41
sample_69.jpg,48,0.591214669,0.297238287,0.031499302,0.897372377,0.032874726,Other,56
sample_70.jpg,48,0.681273851,0.152684739,0.920066288,0.253306741,0.642103787,Female,21
sample_71.jpg,16,0.600661787,0.211729362,0.904895155,0.558757626,0.357926928,Female,55
sample_72.jpg,14,0.421301749,0.627174954,0.21473401,0.017360742,0.71702566,Female,19
sample_73.jpg,31,0.30381399,0.943482218,0.52258756,0.698831734,0.067455151,Female,36
sample_74.jpg,31,0.954744696,0.99088086,0.336100084,0.161189576,0.013860777,Other,20
sample_75.jpg,41,0.001048824,0.305774047,0.654861136,0.879340893,0.091057923,Female,51
sample_76.jpg,21,0.443484011,0.864253528,0.377801637,0.265739023,0.343845328,Female,44
sample_77.jpg,46,0.450125603,0.289826533,0.48368337,0.122730615,0.873483166,Female,40
sample_78.jpg,13,0.158722728,0.370281916,0.349789356,0.167435497,0.871944405,Other,59
sample_79.jpg,19,0.737170149,0.05676022,0.330624818,0.690228324,0.479069738,Female,52
sample_80.jpg,46,0.844852989,0.395054225,0.537188992,0.391220238,0.973571721,Male,40
sample_81.jpg,22,0.287028257,0.025542183,0.369424696,0.842368579,0.332201802,Other,44
sample_82.jpg,56,0.581810352,0.098112076,0.640169152,0.701490768,0.09135245,Male,41
sample_83.jpg,10,0.114823011,0.431156782,0.812935362,0.216461991,0.917723461,Other,48
sample_84.jpg,49,0.933052533,0.505140706,0.126271983,0.820485374,0.562302286,Other,37
sample_85.jpg,59,0.442971885,0.07427012,0.265984743,0.726712836,0.157581449,Female,23
sample_86.jpg,57,0.064787012,0.96738037,0.695477611,0.343105266,0.481253463,Female,38
sample_87.jpg,19,0.97729502,0.00825767,0.818017607,0.465681217,0.903334361,Male,23
sample_88.jpg,44,0.057519329,0.819938575,0.2220859,0.752323121,0.381861108,Male,60
sample_89.jpg,59,0.511244944,0.651158082,0.438021899,0.209930209,0.504081602,Female,49
sample_90.jpg,31,0.550817485,0.8215876,0.181997191,0.922258594,0.442640002,Other,29
sample_91.jpg,20,0.730339622,0.467572065,0.441142927,0.765061687,0.290604554,Female,57
sample_92.jpg,42,0.779444587,0.098784502,0.557571013,0.10094072,0.692716832,Other,20
sample_93.jpg,16,0.340853182,0.860586266,0.271397863,0.988531969,0.521012191,Other,36
sample_94.jpg,36,0.600272493,0.256929889,0.385982151,0.844475691,0.830825239,Other,60
sample_95.jpg,24,0.163938423,0.442496794,0.1561289,0.734695611,0.447341324,Male,58
sample_96.jpg,22,0.344975091,0.196736447,0.281124627,0.884587723,0.681992982,Male,24
sample_97.jpg,52,0.6599961,0.464054798,0.259674062,0.637873331,0.170423314,Female,41
sample_98.jpg,40,0.147427657,0.024314331,0.764463338,0.455504692,0.521953522,Other,33
sample_99.jpg,51,0.35844301,0.56225263,0.730981899,0.878604013,0.500425058,Other,56
sample_100.jpg,49,0.091379185,0.307717256,0.808558055,0.975160404,0.257838644,Female,43
sample_101.jpg,53,0.197651544,0.504264495,0.300876774,0.204669056,0.302045109,Other,57
sample_102.jpg,36,0.194884989,0.283850567,0.450253316,0.007427954,0.095844299,Female,19
sample_103.jpg,44,0.968793696,0.90270875,0.507610352,0.038971298,0.81813954,Male,31
sample_104.jpg,46,0.873289945,0.133503874,0.186243522,0.738908815,0.925722109,Female,21
sample_105.jpg,15,0.7387569,0.482963377,0.530559421,0.758093405,0.752748969,Male,48
sample_106.jpg,45,0.503550467,0.693195458,0.96728476,0.980641202,0.194322479,Male,34
sample_107.jpg,27,0.772343711,0.399091688,0.776326081,0.418398011,0.746686646,Female,39
sample_108.jpg,40,0.787936793,0.865225719,0.212038843,0.536652886,0.169313913,Other,21
sample_109.jpg,55,0.989878963,0.143436609,0.785728409,0.733333203,0.129707247,Other,35
sample_110.jpg,11,0.750492467,0.610039208,0.412853584,0.991751587,0.423775546,Male,33
sample_111.jpg,39,0.688900154,0.857360878,0.229374712,0.26114762,0.447325596,Female,31
sample_112.jpg,48,0.71040188,0.830636737,0.68777087,0.170311133,0.500876629,Female,27
sample_113.jpg,20,0.367305611,0.390962681,0.150114968,0.005549159,0.213054354,Other,55
sample_114.jpg,13,0.352597756,0.070451743,0.49051156,0.589977652,0.808014451,Other,31
sample_115.jpg,57,0.508175938,0.00351186,0.23286062,0.831266396,0.519162808,Other,21
sample_116.jpg,15,0.352369871,0.472871149,0.391170576,0.105372371,0.20063254,Other,36
sample_117.jpg,21,0.738749611,0.918513083,0.255088564,0.373070134,0.60611643,Female,28
sample_118.jpg,51,0.528239987,0.984433944,0.502777843,0.96164862,0.930310219,Male,49
sample_119.jpg,27,0.450592715,0.695613097,0.940926074,0.8532962,0.707638532,Male,51
sample_120.jpg,59,0.993982131,0.238750548,0.148854893,0.898095627,0.095699024,Male,59
sample_121.jpg,29,0.528534411,0.862346,0.703574902,0.739602529,0.221825938,Other,52
sample_122.jpg,17,0.168145009,0.730477854,0.761740603,0.716752076,0.736248376,Male,52
sample_123.jpg,23,0.155329433,0.098382733,0.990985712,0.121667304,0.832614105,Male,24
sample_124.jpg,28,0.706832095,0.372896368,0.475325426,0.816705254,0.057261472,Female,52
sample_125.jpg,34,0.377145216,0.743229604,0.762645338,0.714844277,0.691030593,Other,22
sample_126.jpg,31,0.220807551,0.532887774,0.921306318,0.938913362,0.889259377,Female,60
sample_127.jpg,19,0.266179447,0.981731785,0.559524966,0.195330012,0.060755894,Other,19
sample_128.jpg,34,0.217951949,0.726365489,0.969637711,0.223448144,0.685598085,Female,36
sample_129.jpg,32,0.548377721,0.786027556,0.90038695,0.175931107,0.12991024,Other,39
sample_130.jpg,12,0.497121037,0.50716903,0.301447281,0.823159787,0.816573367,Female,38
sample_131.jpg,32,0.166973609,0.922431471,0.625746499,0.400700791,0.992620315,Male,32
sample_132.jpg,50,0.319303736,0.046765295,0.069915762,0.39305096,0.211914164,Female,22
sample_133.jpg,60,0.778224073,0.745481405,0.386186278,0.131380442,0.124251696,Other,32
sample_134.jpg,28,0.672687232,0.75396135,0.681941095,0.156013543,0.709429314,Male,59
sample_135.jpg,30,0.935627423,0.820079085,0.871979776,0.237660537,0.626435063,Female,49
sample_136.jpg,60,0.974360829,0.695306547,0.721496953,0.644518718,0.941611751,Female,60
sample_137.jpg,47,0.710797687,0.032722132,0.430609397,0.190170669,0.767076661,Other,40
sample_138.jpg,45,0.541502073,0.877922153,0.00998592,0.050086414,0.698977893,Female,20
sample_139.jpg,46,0.044116643,0.165752922,0.919242496,0.074764883,0.438033205,Female,53
sample_140.jpg,39,0.751659237,0.709720165,0.260314331,0.130425399,0.620972309,Male,34
sample_141.jpg,35,0.325305336,0.258087742,0.972916601,0.692119234,0.213301847,Other,42
sample_142.jpg,37,0.048208555,0.732521686,0.240382023,0.125169728,0.670627912,Other,45
sample_143.jpg,33,0.202282296,0.086007477,0.731260016,0.722599532,0.231707706,Male,34
sample_144.jpg,59,0.221328127,0.964549497,0.789167743,0.976676618,0.943154065,Other,48
sample_145.jpg,58,0.492932191,0.200768193,0.30909331,0.854844859,0.687336952,Other,31
sample_146.jpg,38,0.008230336,0.437548144,0.763401166,0.73060559,0.952272041,Male,60
sample_147.jpg,60,0.996005396,0.748875769,0.15454985,0.258037042,0.665094929,Other,36
sample_148.jpg,34,0.992487256,0.679579987,0.990044215,0.466609718,0.776850714,Female,29
sample_149.jpg,23,0.672146678,0.23076772,0.099955179,0.981360221,0.494339182,Female,60
sample_150.jpg,29,0.693482004,0.518290209,0.642027842,0.623923901,0.089770343,Female,58
sample_151.jpg,25,0.968535836,0.396278951,0.011796351,0.133322272,0.474916905,Female,51
sample_152.jpg,60,0.136546994,0.263382665,0.8598571,0.746841135,0.097224024,Male,41
sample_153.jpg,42,0.113287633,0.297645305,0.7593267,0.890580275,0.813533299,Male,53
sample_154.jpg,39,0.853449363,0.851456167,0.392246603,0.476030682,0.844971945,Other,45
sample_155.jpg,45,0.981765928,0.540294208,0.988070183,0.870866152,0.350007601,Female,32
sample_156.jpg,55,0.651791305,0.956776609,0.818174451,0.785477145,0.212502856,Male,39
sample_157.jpg,12,0.357743928,0.739462221,0.629593022,0.983291012,0.273641853,Male,52
sample_158.jpg,49,0.357210369,0.107865644,0.991855482,0.758359721,0.820467835,Other,26
sample_159.jpg,16,0.484019076,0.835697705,0.346094109,0.140028104,0.127377165,Male,40
sample_160.jpg,25,0.813160971,0.083612458,0.420967422,0.07256202,0.798969817,Male,41
sample_161.jpg,43,0.165121851,0.71955158,0.965121995,0.785254496,0.913467788,Male,41
sample_162.jpg,19,0.698281265,0.258389758,0.985821019,0.758062499,0.362721163,Female,53
sample_163.jpg,14,0.628502645,0.659881621,0.033438679,0.086020832,0.556524672,Female,58
sample_164.jpg,27,0.952896565,0.233613013,0.522649558,0.308154022,0.934286745,Male,58
sample_165.jpg,14,0.208593918,0.222195725,0.198883882,0.457630449,0.455838044,Other,24
sample_166.jpg,14,0.568468966,0.775761854,0.554530285,0.586569649,0.120886373,Other,46
sample_167.jpg,33,0.462288955,0.771821432,0.311335025,0.350092849,0.309129454,Female,22
sample_168.jpg,53,0.230901946,0.732469364,0.816123137,0.720467135,0.452698029,Other,53
sample_169.jpg,52,0.152142982,0.061227392,0.98386598,0.539769223,0.022631892,Female,51
sample_170.jpg,52,0.019496534,0.07299902,0.974285784,0.729311905,0.138652575,Male,33
sample_171.jpg,19,0.378073664,0.679062492,0.99472796,0.965070485,0.670829327,Male,21
sample_172.jpg,57,0.216223733,0.949620303,0.849894498,0.266393992,0.930084488,Other,43
sample_173.jpg,17,0.55054767,0.265850675,0.594651957,0.943974639,0.931529032,Other,28
sample_174.jpg,40,0.152905763,0.529933333,0.130373716,0.54644737,0.939326924,Other,56
sample_175.jpg,60,0.852010152,0.625917708,0.624941179,0.132262792,0.478970955,Female,25
sample_176.jpg,25,0.733668378,0.848991791,0.879254753,0.088407328,0.095999221,Other,59
sample_177.jpg,49,0.281937635,0.551647258,0.360786398,0.292154409,0.022376934,Male,38
sample_178.jpg,38,0.931065977,0.386431128,0.897348389,0.244514458,0.322238724,Male,39
sample_179.jpg,34,0.242253662,0.849901652,0.005759956,0.605925726,0.586818947,Female,28
sample_180.jpg,11,0.307815411,0.611235903,0.028157991,0.02409264,0.616329806,Other,54
sample_181.jpg,38,0.055872408,0.223101908,0.144684961,0.701365241,0.099826746,Other,57
sample_182.jpg,60,0.772691029,0.127150226,0.078010572,0.979293311,0.77202019,Male,56
sample_183.jpg,60,0.196622294,0.808233946,0.126909446,0.997632025,0.900666302,Other,60
sample_184.jpg,27,0.561270571,0.741981265,0.452914521,0.695585264,0.810195713,Other,52
sample_185.jpg,18,0.856975351,0.353924471,0.346753946,0.137196356,0.916266981,Other,24
sample_186.jpg,21,0.153738297,0.016717518,0.172367505,0.447065043,0.943729234,Other,18
sample_187.jpg,19,0.05591939,0.660806366,0.972186362,0.998412803,0.427972138,Other,24
sample_188.jpg,41,0.180337104,0.910284582,0.993492513,0.368073381,0.952882345,Male,30
sample_189.jpg,49,0.381725736,0.898812149,0.902010516,0.130406122,0.186746709,Female,43
sample_190.jpg,28,0.766836307,0.281640629,0.839617229,0.38994438,0.188547756,Other,21
sample_191.jpg,54,0.759149158,0.881148999,0.001049771,0.526234829,0.758291257,Male,40
sample_192.jpg,46,0.394192536,0.235843926,0.027736297,0.912024772,0.277618107,Female,39
sample_193.jpg,38,0.237593016,0.237792409,0.672527909,0.563625906,0.248516137,Male,59
sample_194.jpg,14,0.645016678,0.53098959,0.024451821,0.865841081,0.724319671,Female,19
sample_195.jpg,24,0.290569566,0.40378162,0.216111167,0.135970401,0.675176159,Male,38
sample_196.jpg,42,0.726713747,0.423565595,0.801761372,0.782068563,0.713216052,Female,53
sample_197.jpg,24,0.795653723,0.617484087,0.53843575,0.872533304,0.111975037,Male,59
sample_198.jpg,22,0.091923756,0.275891595,0.988294876,0.956830068,0.638540763,Female,36
sample_199.jpg,11,0.139047144,0.74134151,0.299134745,0.004978769,0.550199519,Female,18
sample_200.jpg,51,0.483152345,0.523911617,0.484266106,0.325500562,0.300638617,Female,49
sample_201.jpg,53,0.649279111,0.815990018,0.002307042,0.399191746,0.071083481,Other,21
sample_202.jpg,51,0.693690117,0.755515749,0.455100327,0.463421614,0.732237419,Male,22
sample_203.jpg,58,0.582185297,0.555844267,0.995001856,0.632117533,0.48547344,Male,47
sample_204.jpg,41,0.146019028,0.771374246,0.226466622,0.507622699,0.817687204,Male,27
sample_205.jpg,18,0.340243659,0.786475642,0.928805633,0.297193246,0.379694597,Male,50
sample_206.jpg,13,0.843795012,0.533780245,0.142432633,0.12238028,0.179320361,Female,37
sample_207.jpg,58,0.796659869,0.43892081,0.456064213,0.761932035,0.711202147,Other,27
sample_208.jpg,59,0.641087825,0.138168387,0.196724202,0.361783111,0.126262733,Other,60
sample_209.jpg,51,0.812973703,0.783170923,0.243362329,0.049769168,0.453147203,Female,26
sample_210.jpg,12,0.717199569,0.26534183,0.938908125,0.885015396,0.320699211,Male,31
sample_211.jpg,47,0.625874348,0.472773143,0.441795964,0.681484341,0.940134564,Other,22
sample_212.jpg,22,0.998315767,0.715682076,0.84241609,0.599628346,0.062284735,Male,37
sample_213.jpg,24,0.533747002,0.830894323,0.294510461,0.324166375,0.563776777,Male,29
sample_214.jpg,48,0.977108368,0.177786666,0.117749211,0.266854058,0.558552218,Female,19
sample_215.jpg,33,0.068477103,0.186538167,0.457733334,0.904786953,0.242107495,Other,29
sample_216.jpg,12,0.062758929,0.566253804,0.900555151,0.356243497,0.177775779,Female,34
sample_217.jpg,38,0.726957728,0.048180483,0.851530128,0.095771008,0.31991282,Female,29
sample_218.jpg,54,0.636032954,0.490470438,0.708503101,0.636752899,0.306983152,Female,39
sample_219.jpg,18,0.915698256,0.490091768,0.74363411,0.400728422,0.583885311,Female,50
sample_220.jpg,25,0.521091366,0.608322052,0.207927729,0.97913989,0.952018514,Other,23
sample_221.jpg,42,0.792575181,0.330879598,0.969840726,0.908758344,0.992584711,Male,35
sample_222.jpg,32,0.467516428,0.032277758,0.027056661,0.708929974,0.581123769,Male,18
sample_223.jpg,45,0.614306329,0.02408009,0.45915741,0.211162656,0.292508121,Other,47
sample_224.jpg,16,0.509673989,0.476009045,0.008722927,0.974065603,0.665228447,Male,25
sample_225.jpg,48,0.936455887,0.959519302,0.942664404,0.385667502,0.518862365,Other,45
sample_226.jpg,55,0.426199076,0.506425488,0.199071567,0.857578113,0.476536724,Male,21
sample_227.jpg,53,0.70483531,0.458913314,0.380441694,0.108137063,0.110675291,Other,32
sample_228.jpg,27,0.096995819,0.268789713,0.858894984,0.015875677,0.420386288,Other,43
sample_229.jpg,38,0.671157745,0.318060388,0.098138232,0.894935122,0.224104356,Female,35
sample_230.jpg,42,0.525738091,0.638065207,0.133587565,0.392130982,0.26041948,Other,27
sample_231.jpg,49,0.421796815,0.911165666,0.117122082,0.260864855,0.787907493,Other,39
sample_232.jpg,30,0.6592246,0.099369639,0.864935556,0.291652113,0.110572887,Male,54
sample_233.jpg,55,0.909254287,0.921920185,0.134488593,0.818360504,0.011218843,Other,29
sample_234.jpg,38,0.884815115,0.83062711,0.078320105,0.571533985,0.889256333,Male,30
sample_235.jpg,56,0.89337243,0.453851845,0.536778298,0.96413167,0.445241252,Male,46
sample_236.jpg,32,0.514740755,0.886766723,0.965491443,0.418840924,0.473518001,Other,40
sample_237.jpg,54,0.135773963,0.085157494,0.158021925,0.625751932,0.490492485,Female,22
sample_238.jpg,34,0.454867523,0.796538105,0.124714662,0.820930406,0.109022294,Male,41
sample_239.jpg,45,0.089766264,0.118605232,0.50856564,0.196402651,0.938064607,Female,36
sample_240.jpg,10,0.307447148,0.592684149,0.379343279,0.881598556,0.653402617,Other,50
sample_241.jpg,34,0.432793272,0.524592706,0.190581807,0.510797142,0.457153124,Male,54
sample_242.jpg,28,0.698336474,0.734522756,0.976682701,0.193462057,0.356067319,Female,52
sample_243.jpg,19,0.803215085,0.855829783,0.955979209,0.196205237,0.745052834,Male,20
sample_244.jpg,49,0.72392224,0.810077762,0.774606218,0.301106959,0.616365421,Other,34
sample_245.jpg,13,0.268842227,0.449182607,0.283831271,0.442221322,0.753922463,Other,53
sample_246.jpg,42,0.445362656,0.863398888,0.361743838,0.283377859,0.020127465,Male,38
sample_247.jpg,54,0.576097372,0.674110284,0.188231935,0.961220922,0.779906995,Other,53
sample_248.jpg,16,0.770014553,0.344115085,0.274469432,0.318929177,0.300668622,Male,21
sample_249.jpg,42,0.060378776,0.867691006,0.501526837,0.203766614,0.39636893,Other,28
sample_250.jpg,40,0.96123804,0.053677483,0.999905419,0.993749129,0.446675166,Female,56
